Date,Day,Wom,Month,Year,Offered,Adj-off
1-Jul-13,Monday,1,Jul,2013,505,505
2-Jul-13,Tuesday,1,Jul,2013,419,419
3-Jul-13,Wednesday,1,Jul,2013,400,400
4-Jul-13,Thursday,1,Jul,2013,207,207
5-Jul-13,Friday,1,Jul,2013,57,57
6-Jul-13,Saturday,1,Jul,2013,131,131
7-Jul-13,Sunday,1,Jul,2013,148,148
8-Jul-13,Monday,2,Jul,2013,447,447
9-Jul-13,Tuesday,2,Jul,2013,390,390
10-Jul-13,Wednesday,2,Jul,2013,365,365
11-Jul-13,Thursday,2,Jul,2013,356,356
12-Jul-13,Friday,2,Jul,2013,340,340
13-Jul-13,Saturday,2,Jul,2013,188,188
14-Jul-13,Sunday,2,Jul,2013,116,116
15-Jul-13,Monday,3,Jul,2013,406,406
16-Jul-13,Tuesday,3,Jul,2013,407,407
17-Jul-13,Wednesday,3,Jul,2013,434,434
18-Jul-13,Thursday,3,Jul,2013,436,436
19-Jul-13,Friday,3,Jul,2013,419,419
20-Jul-13,Saturday,3,Jul,2013,183,183
21-Jul-13,Sunday,3,Jul,2013,149,149
22-Jul-13,Monday,4,Jul,2013,406,406
23-Jul-13,Tuesday,4,Jul,2013,387,387
24-Jul-13,Wednesday,4,Jul,2013,407,407
25-Jul-13,Thursday,4,Jul,2013,441,441
26-Jul-13,Friday,4,Jul,2013,348,348
27-Jul-13,Saturday,4,Jul,2013,216,216
28-Jul-13,Sunday,4,Jul,2013,123,123
29-Jul-13,Monday,5,Jul,2013,398,398
30-Jul-13,Tuesday,5,Jul,2013,548,548
31-Jul-13,Wednesday,5,Jul,2013,510,510
1-Aug-13,Thursday,1,Aug,2013,367,367
2-Aug-13,Friday,1,Aug,2013,383,383
3-Aug-13,Saturday,1,Aug,2013,177,177
4-Aug-13,Sunday,1,Aug,2013,147,147
5-Aug-13,Monday,1,Aug,2013,393,393
6-Aug-13,Tuesday,1,Aug,2013,456,456
7-Aug-13,Wednesday,1,Aug,2013,380,380
8-Aug-13,Thursday,2,Aug,2013,506,506
9-Aug-13,Friday,2,Aug,2013,417,417
10-Aug-13,Saturday,2,Aug,2013,165,165
11-Aug-13,Sunday,2,Aug,2013,146,146
12-Aug-13,Monday,2,Aug,2013,374,374
13-Aug-13,Tuesday,2,Aug,2013,294,294
14-Aug-13,Wednesday,2,Aug,2013,326,326
15-Aug-13,Thursday,3,Aug,2013,317,317
16-Aug-13,Friday,3,Aug,2013,334,334
